Заголовок;Код региона;Код города;Маска номера;Количество цифр;Регион
Глушково;471;32;x-xx-xx;5;Код Курской области
Глинка;481;65;x-xx-xx;5;Код Смоленской области
Глядянское;352;39;x-xx-xx;5;Код Курганской области
Головинка;862;2;xx-xx-xx;6;Код Краснодарского края
Голицыно;;498;xxx-xx-xx;7;
Голышманово;345;46;x-xx-xx;5;Код Тюменской области
Гора;496;4;xx-xx-xx;6;Код Московской области
Горбунки;813;76;x-xx-xx;5;Код Ленинградской области
Гордеевка;483;40;x-xx-xx;5;Код Брянской области
Горно-Алтайск;;388;xxx-xx-xx;7;
Горный;845;77;x-xx-xx;5;Код Саратовской области
Горнозаводск;342;69;x-xx-xx;5;Код Пермского края
Горный;302;57;x-xx-xx;5;Код Забайкальского края
Горняк;385;86;x-xx-xx;5;Код Алтайского края
Городец;831;61;x-xx-xx;5;Код Нижегородской области
Городище;841;58;x-xx-xx;5;Код Пензенской области
Городище;844;68;x-xx-xx;5;Код Волгоградской области
Городищи;;496;xxx-xx-xx;7;
Городовиковск;847;31;x-xx-xx;5;Код Республики Калмыкия
Гороховец;492;38;x-xx-xx;5;Код Владимирской области
Горшечное;471;33;x-xx-xx;5;Код Курской области
Горьковское;381;57;x-xx-xx;5;Код Омской области
Горячий Ключ;861;59;x-xx-xx;5;Код Краснодарского края
Гостилицы;813;76;x-xx-xx;5;Код Ленинградской области
Грайворон;472;61;x-xx-xx;5;Код Белгородской области
Грачевка;353;44;x-xx-xx;5;Код Оренбургской области
Грахово;341;63;x-xx-xx;5;Код Республики Удмуртия
Грачевка;865;40;x-xx-xx;5;Код Ставропольского края
Гремячинск;342;50;x-xx-xx;5;Код Пермского края
Грибановский;473;48;x-xx-xx;5;Код Воронежской области
Григорьевское;496;63;x-xx-xx;5;Код Московской области
Грозный;;871;xxx-xx-xx;7;
Грязи;474;61;x-xx-xx;5;Код Липецкой области
Губино;496;4;xx-xx-xx;6;Код Московской области
Грязовец;817;55;x-xx-xx;5;Код Вологодской области
Губаха;342;48;x-xx-xx;5;Код Пермского края
Губкин;472;41;x-xx-xx;5;Код Белгородской области
Губкинский;349;36;x-xx-xx;5;Код Ямало-Ненецкого АО
Гуково;863;61;x-xx-xx;5;Код Ростовской области
Гудермес;871;52;x-xx-xx;5;Код Чеченской Республики
Гулькевичи;861;60;x-xx-xx;5;Код Краснодарского края
Гуниб;872;58;x-xx-xx;5;Код Республики Дагестан
Гридино;496;40;x-xx-xx;5;Код Московской области
Гурьевск;401;51;x-xx-xx;5;Код Калининградской области
Гурьевск;384;63;x-xx-xx;5;Код Кемеровской области
Гусев;401;43;x-xx-xx;5;Код Калининградской области
Гусь-Хрустальный;492;41;x-xx-xx;5;Код Владимирской области
Гусиноозерск;301;45;x-xx-xx;5;Код Республики Бурятия
Вавож;341;55;x-xx-xx;5;Код Республики Удмуртия
Вагай;345;39;x-xx-xx;5;Код Тюменской области
Вад;831;40;x-xx-xx;5;Код Нижегородской области
Вадинск;841;42;x-xx-xx;5;Код Пензенской области
Валдай;816;66;x-xx-xx;5;Код Новгородской области
Ванино;421;37;x-xx-xx;5;Код Хабаровского края
Валуйки;472;36;x-xx-xx;5;Код Белгородской области
Вардане;862;2;xx-xx-xx;6;Код Краснодарского края
Варгаши;352;33;x-xx-xx;5;Код Курганской области
Варна;351;42;x-xx-xx;5;Код Челябинской области
Варнавино;831;58;x-xx-xx;5;Код Нижегородской области
Васильевское;496;7;xx-xx-xx;6;Код Московской области
Вачи;872;68;x-xx-xx;5;Код Республики Дагестан
Вача;831;73;x-xx-xx;5;Код Нижегородской области
Ведено;871;34;x-xx-xx;5;Код Чеченской Республики
Вейделевка;472;37;x-xx-xx;5;Код Белгородской области
Велиж;481;32;x-xx-xx;5;Код Смоленской области
Великие Луки;811;53;x-xx-xx;5;Код Псковской области
Великий Устюг;817;38;x-xx-xx;5;Код Вологодской области
Великий Новгород;;816;xxx-xx-xx;7;
Вельск;818;36;x-xx-xx;5;Код Архангельской области
Вельяминово;496;79;x-xx-xx;5;Код Московской области
Венев;487;45;x-xx-xx;5;Код Тульской области
Верещагино;342;54;x-xx-xx;5;Код Пермского края
Верея;;496;xxx-xx-xx;7;
Верх-Усугли;302;64;x-xx-xx;5;Код Забайкальского края
Верхневилюйск;411;33;x-xx-xx;5;Код Республики Саха (Якутия)
Верх-Чебула;384;44;x-xx-xx;5;Код Кемеровской области
Верхнеуральск;351;43;x-xx-xx;5;Код Челябинской области
Верхние Киги;347;48;x-xx-xx;5;Код Республики Башкортостан
Венгерово;383;69;x-xx-xx;5;Код Новосибирской области
Верхний Ландех;493;49;x-xx-xx;5;Код Ивановской области
Верхний Мамон;473;55;x-xx-xx;5;Код Воронежской области
Верхний Уфалей;351;64;x-xx-xx;5;Код Челябинской области
Верхняя Пышма;343;68;x-xx-xx;5;Код Свердловской области
Верхнеяркеево;347;62;x-xx-xx;5;Код Республики Башкортостан
Верхние Татышлы;347;78;x-xx-xx;5;Код Республики Башкортостан
Верхняя Тойма;818;54;x-xx-xx;5;Код Архангельской области
Верхняя Хава;473;43;x-xx-xx;5;Код Воронежской области
Верхняя-Чебула;384;44;x-xx-xx;5;Код Кемеровской области
Верховажье;817;59;x-xx-xx;5;Код Вологодской области
Верховье;486;76;x-xx-xx;5;Код Орловской области
Верхний Услон;843;79;x-xx-xx;5;Код Республики Татарстан
Верхняя Салда;343;45;x-xx-xx;5;Код Свердловской области
Верхошижемье;833;35;x-xx-xx;5;Код Кировской области
Верхотурье;343;89;x-xx-xx;5;Код Свердловской области
Весьегонск;482;64;x-xx-xx;5;Код Тверской области
Ветлуга;831;50;x-xx-xx;5;Код Нижегородской области
Вешкайма;842;43;x-xx-xx;5;Код Ульяновской области
Вешенская;863;53;x-xx-xx;5;Код Ростовской области
Визинга;821;31;x-xx-xx;5;Код Республики Коми
Ванавара;391;77;x-xx-xx;5;Код Красноярского края
Видное;;498;xxx-xx-xx;7;
Викулово;345;57;x-xx-xx;5;Код Тюменской области
Вилюйск;411;32;x-xx-xx;5;Код Республики Саха (Якутия)
Виноградово;;496;xxx-xx-xx;7;
Вилючинск;415;35;x-xx-xx;5;Код Камчатского края
Веселый;863;58;x-xx-xx;5;Код Ростовской области
Владимир;;492;xxx-xx-xx;7;
Владивосток;;423;xxx-xx-xx;7;
Владикавказ;;867;xxx-xx-xx;7;
Вичуга;493;54;x-xx-xx;5;Код Ивановской области
Владимиро-Александровское;423;65;x-xx-xx;5;Код Приморского края
Вожега;817;44;x-xx-xx;5;Код Вологодской области
Волгореченск;494;53;x-xx-xx;5;Код Костромской области
Воздвиженское;496;24;x-xx-xx;5;Код Московской области
Вознесенское;831;78;x-xx-xx;5;Код Нижегородской области
Волгодонск;863;9;xx-xx-xx;6;Код Ростовской области
Волжск;836;31;x-xx-xx;5;Код Республики Марий Эл
Волово;474;73;x-xx-xx;5;Код Липецкой области
Волжский;844;3;xx-xx-xx;6;Код Волгоградской области
Волово;487;68;x-xx-xx;5;Код Тульской области
Вологда;;817;xxx-xx-xx;7;
Володарск;831;36;x-xx-xx;5;Код Нижегородской области
Володарский;851;42;x-xx-xx;5;Код Астраханской области
Волоконовка;472;35;x-xx-xx;5;Код Белгородской области
Волосово;813;73;x-xx-xx;5;Код Ленинградской области
Волхов;813;63;x-xx-xx;5;Код Ленинградской области
Волчиха;385;65;x-xx-xx;5;Код Алтайского края
Вольно Надеждинское;423;34;x-xx-xx;5;Код Приморского края
Волот;816;62;x-xx-xx;5;Код Новгородской области
Вольск;845;93;x-xx-xx;5;Код Саратовской области
Волоколамский Совхоз;496;36;x-xx-xx;5;Код Московской области
Волоколамск;496;36;x-xx-xx;5;Код Московской области
Воркута;821;51;x-xx-xx;5;Код Республики Коми
Воробьевка;473;56;x-xx-xx;5;Код Воронежской области
Вороново;496;7;xx-xx-xx;6;Код Московской области
Воротынец;831;64;x-xx-xx;5;Код Нижегородской области
Воскресенское;831;63;x-xx-xx;5;Код Нижегородской области
Воскресенское;845;68;x-xx-xx;5;Код Саратовской области
Воскресенск;496;44;x-xx-xx;5;Код Московской области
Воткинск;341;45;x-xx-xx;5;Код Республики Удмуртия
Вохма;494;50;x-xx-xx;5;Код Костромской области
Востряково;496;79;x-xx-xx;5;Код Московской области
Всеволжск;813;70;x-xx-xx;5;Код Ленинградской области
Всеволожск;813;70;x-xx-xx;5;Код Ленинградской области
Вуктыл;821;46;x-xx-xx;5;Код Республики Коми
Выборг;813;78;x-xx-xx;5;Код Ленинградской области
Вурнары;835;37;x-xx-xx;5;Код Чувашской Республики
Выгоничи;483;41;x-xx-xx;5;Код Брянской области
Выльгорт;821;30;x-xx-xx;5;Код Республики Коми
Выкса;831;77;x-xx-xx;5;Код Нижегородской области
Выселки;861;57;x-xx-xx;5;Код Краснодарского края
Вытегра;817;46;x-xx-xx;5;Код Вологодской области
Вышний Волочек;482;33;x-xx-xx;5;Код Тверской области
Вяземский;421;53;x-xx-xx;5;Код Хабаровского края
Высоковск;496;24;x-xx-xx;5;Код Московской области
Вязники;492;33;x-xx-xx;5;Код Владимирской области
Вятские Поляны;833;34;x-xx-xx;5;Код Кировской области
Вязьма;481;31;x-xx-xx;5;Код Смоленской области
Йошкар-Ола;;836;xxx-xx-xx;7;
Высокая Гора;843;65;x-xx-xx;5;Код Республики Татарстан
Выделенная Сеть;391;60;x-xx-xx;5;Код Красноярского края
Облучье;426;66;x-xx-xx;5;Код Еврейского АО
Обоянь;471;41;x-xx-xx;5;Код Курской области
Обнинск;484;39;x-xx-xx;5;Код Калужской области
Оборино;;496;xxx-xx-xx;7;
Объячево;821;33;x-xx-xx;5;Код Республики Коми
Обухово;;496;xxx-xx-xx;7;
Одесское;381;59;x-xx-xx;5;Код Омской области
Обливская;863;96;x-xx-xx;5;Код Ростовской области
Одинцово;498;533;xx-xx;4;Код Московской области
Одоев;487;36;x-xx-xx;5;Код Тульской области
Озерск;401;42;x-xx-xx;5;Код Калининградской области
Ожерелье;496;69;x-xx-xx;5;Код Московской области
Озерск;351;30;x-xx-xx;5;Код Челябинской области
Оконешниково;381;66;x-xx-xx;5;Код Омской области
Озинки;845;76;x-xx-xx;5;Код Саратовской области
Октябрьск;846;46;x-xx-xx;5;Код Самарской области
Октябрьский;844;75;x-xx-xx;5;Код Волгоградской области
Октябрьский;347;67;x-xx-xx;5;Код Республики Башкортостан
Октябрьский;342;66;x-xx-xx;5;Код Пермского края
Октябрьский;818;55;x-xx-xx;5;Код Архангельской области
Октябрьское;353;30;x-xx-xx;5;Код Оренбургской области
Октябрьское;867;38;x-xx-xx;5;Код Республики Северная Осетия
Октябрьское;346;78;x-xx-xx;5;Код Тюменской области
Октябрьское;351;58;x-xx-xx;5;Код Челябинской области
Окуловка;816;57;x-xx-xx;5;Код Новгородской области
Ола;413;41;x-xx-xx;5;Код Магаданской области
Олекминск;411;38;x-xx-xx;5;Код Республики Саха (Якутия)
Оленегорск;815;52;x-xx-xx;5;Код Мурманской области
Оленек;411;69;x-xx-xx;5;Код Республики Саха (Якутия)
Оловянная;302;53;x-xx-xx;5;Код Забайкальского края
Оленино;482;58;x-xx-xx;5;Код Тверской области
Ольга;423;76;x-xx-xx;5;Код Приморского края
Ольховатка;473;95;x-xx-xx;5;Код Воронежской области
Ольховка;844;56;x-xx-xx;5;Код Волгоградской области
Омсукчан;413;46;x-xx-xx;5;Код Магаданской области
Омутнинск;833;52;x-xx-xx;5;Код Кировской области
Омутинский;345;44;x-xx-xx;5;Код Тюменской области
Онгудай;388;45;x-xx-xx;5;Код Республики Алтай
Онега;818;39;x-xx-xx;5;Код Архангельской области
Олонец;814;36;x-xx-xx;5;Код Республики Карелия
Онуфриево;496;31;x-xx-xx;5;Код Московской области
Опочка;811;38;x-xx-xx;5;Код Псковской области
Опарино;833;53;x-xx-xx;5;Код Кировской области
Орда;342;58;x-xx-xx;5;Код Пермского края
Ордынское;383;59;x-xx-xx;5;Код Новосибирской области
Орел;;486;xxx-xx-xx;7;
Оренбург;;353;xxx-xx-xx;7;
Орево;496;22;x-xx-xx;5;Код Московской области
Орлик;301;50;x-xx-xx;5;Код Республики Бурятия
Оричи;833;54;x-xx-xx;5;Код Кировской области
Орлов;833;65;x-xx-xx;5;Код Кировской области
Орск;353;7;xx-xx-xx;6;Код Оренбургской области
Оршанка;836;41;x-xx-xx;5;Код Республики Марий Эл
Оса;342;91;x-xx-xx;5;Код Пермского края
Оса;395;39;x-xx-xx;5;Код Иркутской области
Осинники;384;71;x-xx-xx;5;Код Кемеровской области
Оссора;415;45;x-xx-xx;5;Код Камчатского края
Осташков;482;35;x-xx-xx;5;Код Тверской области
Орловский;863;75;x-xx-xx;5;Код Ростовской области
Остров;811;52;x-xx-xx;5;Код Псковской области
Островной;815;58;x-xx-xx;5;Код Мурманской области
Островское;494;38;x-xx-xx;5;Код Костромской области
Острогожск;473;75;x-xx-xx;5;Код Воронежской области
Отрадная;861;44;x-xx-xx;5;Код Краснодарского края
Отрадный;846;61;x-xx-xx;5;Код Самарской области
Осташово;496;36;x-xx-xx;5;Код Московской области
Оха;424;37;x-xx-xx;5;Код Сахалинской области
Охотск;421;41;x-xx-xx;5;Код Хабаровского края
Оханск;342;79;x-xx-xx;5;Код Пермского края
Очер;342;78;x-xx-xx;5;Код Пермского края
Савино;493;56;x-xx-xx;5;Код Ивановской области
Савино;496;4;xx-xx-xx;6;Код Московской области
Садовое;847;41;x-xx-xx;5;Код Республики Калмыкия
Саки;365;63;x-xx-xx;5;Код Республики Крым
Сакмара;353;31;x-xx-xx;5;Код Оренбургской области
Салехард;;349;xxx-xx-xx;7;
Салават;347;6;xx-xx-xx;6;Код Республики Башкортостан
Самагалтай;394;38;x-xx-xx;5;Код Республики Тыва
Самойловка;845;48;x-xx-xx;5;Код Саратовской области
Сангар;411;63;x-xx-xx;5;Код Республики Саха (Якутия)
Санчурск;833;57;x-xx-xx;5;Код Кировской области
Сандово;482;72;x-xx-xx;5;Код Тверской области
Сальск;863;72;x-xx-xx;5;Код Ростовской области
Сапожок;491;52;x-xx-xx;5;Код Рязанской области
Сараи;491;48;x-xx-xx;5;Код Рязанской области
Озеры;496;70;x-xx-xx;5;Код Московской области
Саракташ;353;33;x-xx-xx;5;Код Оренбургской области
Саранск;;834;xxx-xx-xx;7;
Сарапул;341;47;x-xx-xx;5;Код Республики Удмуртия
Саргатское;381;78;x-xx-xx;5;Код Омской области
Сарманово;855;59;x-xx-xx;5;Код Республики Татарстан
Саров;831;30;x-xx-xx;5;Код Нижегородской области
Саскылах;411;68;x-xx-xx;5;Код Республики Саха (Якутия)
Сарыг-Сеп;394;32;x-xx-xx;5;Код Республики Тыва
Сасово;491;33;x-xx-xx;5;Код Рязанской области
Сафакулево;352;43;x-xx-xx;5;Код Курганской области
Сатинка;475;56;x-xx-xx;5;Код Тамбовской области
Сатка;351;61;x-xx-xx;5;Код Челябинской области
Саяногорск;390;42;x-xx-xx;5;Код Республики Хакасия
Сафоново;481;42;x-xx-xx;5;Код Смоленской области
Саянск;395;53;x-xx-xx;5;Код Иркутской области
Свердловский;;496;xxx-xx-xx;7;
Светлоград;865;47;x-xx-xx;5;Код Ставропольского края
Светлогорск;401;53;x-xx-xx;5;Код Калининградской области
Светлый;353;66;x-xx-xx;5;Код Оренбургской области
Светлый Яр;844;77;x-xx-xx;5;Код Волгоградской области
Светлый;401;52;x-xx-xx;5;Код Калининградской области
Свеча;833;58;x-xx-xx;5;Код Кировской области
Себеж;811;40;x-xx-xx;5;Код Псковской области
Свободный;416;43;x-xx-xx;5;Код Амурской области
Севастополь;869;2;xx-xx-xx;6;Код Республики Крым
Северное;353;54;x-xx-xx;5;Код Оренбургской области
Северо-Курильск;424;53;x-xx-xx;5;Код Сахалинской области
Северобайкальск;301;30;x-xx-xx;5;Код Республики Бурятия
Северодвинск;818;4;xx-xx-xx;6;Код Архангельской области
Североморск;815;37;x-xx-xx;5;Код Мурманской области
Североуральск;343;80;x-xx-xx;5;Код Свердловской области
Северный;496;20;x-xx-xx;5;Код Московской области
Северск;382;3;xx-xx-xx;6;Код Томской области
Северное;383;60;x-xx-xx;5;Код Новосибирской области
Северская;861;66;x-xx-xx;5;Код Краснодарского края
Орехово-Зуево;496;42;x-xx-xx;5;Код Московской области
Севск;483;56;x-xx-xx;5;Код Брянской области
Сегежа;814;31;x-xx-xx;5;Код Республики Карелия
Сеймчан;413;47;x-xx-xx;5;Код Магаданской области
Седельниково;381;64;x-xx-xx;5;Код Омской области
Селижарово;482;69;x-xx-xx;5;Код Тверской области
Село Им.бабушкина;817;45;x-xx-xx;5;Код Вологодской области
Селты;341;59;x-xx-xx;5;Код Республики Удмуртия
Селятино;;496;xxx-xx-xx;7;
Семенов;831;62;x-xx-xx;5;Код Нижегородской области
Семилуки;473;72;x-xx-xx;5;Код Воронежской области
Семикаракорск;863;56;x-xx-xx;5;Код Ростовской области
Сенгилей;842;33;x-xx-xx;5;Код Ульяновской области
Селиваниха;496;40;x-xx-xx;5;Код Московской области
Серафимович;844;64;x-xx-xx;5;Код Волгоградской области
Сергач;831;91;x-xx-xx;5;Код Нижегородской области
Сергиевск;846;55;x-xx-xx;5;Код Самарской области
Сергокала;872;30;x-xx-xx;5;Код Республики Дагестан
Сердобск;841;67;x-xx-xx;5;Код Пензенской области
Сергиев Посад;496;54;x-xx-xx;5;Код Московской области
Сернур;836;33;x-xx-xx;5;Код Республики Марий Эл
Серов;343;85;x-xx-xx;5;Код Свердловской области
Серноводск;871;54;x-xx-xx;5;Код Чеченской Республики
Серышево;416;42;x-xx-xx;5;Код Амурской области
Сеченево;831;93;x-xx-xx;5;Код Нижегородской области
Сеченово;831;93;x-xx-xx;5;Код Нижегородской области
Серпухов;496;73;x-xx-xx;5;Код Московской области
Симферополь;365;2;xx-xx-xx;6;Код Республики Крым
Сива;342;77;x-xx-xx;5;Код Пермского края
Сковородино;416;54;x-xx-xx;5;Код Амурской области
Скопин;491;56;x-xx-xx;5;Код Рязанской области
Славгород;385;68;x-xx-xx;5;Код Алтайского края
Сибай;347;75;x-xx-xx;5;Код Республики Башкортостан
Славск;401;63;x-xx-xx;5;Код Калининградской области
Славянка;423;31;x-xx-xx;5;Код Приморского края
Ситне-Щелканово;496;64;x-xx-xx;5;Код Московской области
Сладково;345;55;x-xx-xx;5;Код Тюменской области
Славянск-На-Кубани;861;46;x-xx-xx;5;Код Краснодарского края
Сланцы;813;74;x-xx-xx;5;Код Ленинградской области
Слободской;833;62;x-xx-xx;5;Код Кировской области
Смидович;426;32;x-xx-xx;5;Код Еврейского АО
Смирных;424;52;x-xx-xx;5;Код Сахалинской области
Смоленск;;481;xxx-xx-xx;7;
Смоленское;385;36;x-xx-xx;5;Код Алтайского края
Снегири;496;31;x-xx-xx;5;Код Московской области
Снежинск;351;46;x-xx-xx;5;Код Челябинской области
Снежногорск;815;30;x-xx-xx;5;Код Мурманской области
Соболево;415;36;x-xx-xx;5;Код Камчатского края
Снежногорск;391;9;xx-xx-xx;6;Код Красноярского края
Собинка;492;42;x-xx-xx;5;Код Владимирской области
Соболево;496;4;xx-xx-xx;6;Код Московской области
Совет-Квадже;862;2;xx-xx-xx;6;Код Краснодарского края
Свирск;395;73;x-xx-xx;5;Код Иркутской области
Советск;401;61;x-xx-xx;5;Код Калининградской области
Советск;833;75;x-xx-xx;5;Код Кировской области
Советская Гавань;421;38;x-xx-xx;5;Код Хабаровского края
Советская;863;63;x-xx-xx;5;Код Ростовской области
Советский;836;38;x-xx-xx;5;Код Республики Марий Эл
Советский;346;75;x-xx-xx;5;Код Тюменской области
Советский;365;51;x-xx-xx;5;Код Республики Крым
Советское;385;98;x-xx-xx;5;Код Алтайского края
Сокол;817;33;x-xx-xx;5;Код Вологодской области
Солигалич;494;36;x-xx-xx;5;Код Костромской области
Соликамск;342;53;x-xx-xx;5;Код Пермского края
Солнечный;421;46;x-xx-xx;5;Код Хабаровского края
Солнечный;411;40;x-xx-xx;5;Код Республики Саха (Якутия)
Солнечногорск;496;26;x-xx-xx;5;Код Московской области
Солнцево;471;54;x-xx-xx;5;Код Курской области
Соловецкий Пос.;818;3590;x-xx;3;Код Архангельской области
Солотча;491;2;xx-xx-xx;6;Код Рязанской области
Солонешное;385;94;x-xx-xx;5;Код Алтайского края
Солтон;385;33;x-xx-xx;5;Код Алтайского края
Соль-Илецк;353;36;x-xx-xx;5;Код Оренбургской области
Сольцы;816;55;x-xx-xx;5;Код Новгородской области
Сорочинск;353;46;x-xx-xx;5;Код Оренбургской области
Сонково;482;46;x-xx-xx;5;Код Тверской области
Сорск;390;33;x-xx-xx;5;Код Республики Хакасия
Сосновка;475;32;x-xx-xx;5;Код Тамбовской области
Сосново-Озерское;301;35;x-xx-xx;5;Код Республики Бурятия
Сосновоборск;391;31;x-xx-xx;5;Код Красноярского края
Сосково;486;65;x-xx-xx;5;Код Орловской области
Сосновоборск;841;68;x-xx-xx;5;Код Пензенской области
Сортавала;814;30;x-xx-xx;5;Код Республики Карелия
Середа;496;37;x-xx-xx;5;Код Московской области
Серебряные Пруды;496;67;x-xx-xx;5;Код Московской области
Сосновское;831;74;x-xx-xx;5;Код Нижегородской области
Спас-Деменск;484;55;x-xx-xx;5;Код Калужской области
Сосновый Бор;813;69;x-xx-xx;5;Код Ленинградской области
Сосногорск;821;49;x-xx-xx;5;Код Республики Коми
Софрино;496;53;x-xx-xx;5;Код Московской области
Сочи;;862;xxx-xx-xx;7;
Спас-Клепики;491;42;x-xx-xx;5;Код Рязанской области
Спасск-Дальний;423;52;x-xx-xx;5;Код Приморского края
Спасск-Рязанский;491;35;x-xx-xx;5;Код Рязанской области
Спас-Заулок;496;24;x-xx-xx;5;Код Московской области
Спирово;482;76;x-xx-xx;5;Код Тверской области
Среднеколымск;411;56;x-xx-xx;5;Код Республики Саха (Якутия)
Спасское;831;65;x-xx-xx;5;Код Нижегородской области
Средняя Ахтуба;844;79;x-xx-xx;5;Код Волгоградской области
Сретенск;302;46;x-xx-xx;5;Код Забайкальского края
Становое;474;76;x-xx-xx;5;Код Липецкой области
Ставрополь;;865;xxx-xx-xx;7;
Старая Кулатка;842;49;x-xx-xx;5;Код Ульяновской области
Старая Майна;842;30;x-xx-xx;5;Код Ульяновской области
Старая Полтавка;844;93;x-xx-xx;5;Код Волгоградской области
Слюдянка;395;44;x-xx-xx;5;Код Иркутской области
Старая Русса;816;52;x-xx-xx;5;Код Новгородской области
Старица;482;63;x-xx-xx;5;Код Тверской области
Староалейское;385;59;x-xx-xx;5;Код Алтайского края
Стародуб;483;48;x-xx-xx;5;Код Брянской области
Старобалтачево;347;53;x-xx-xx;5;Код Республики Башкортостан
Старое Шайгово;834;32;x-xx-xx;5;Код Республики Мордовия
Староминская;861;53;x-xx-xx;5;Код Краснодарского края
Старожилово;491;51;x-xx-xx;5;Код Рязанской области
Староюрьево;475;43;x-xx-xx;5;Код Тамбовской области
Старая Ситня;496;64;x-xx-xx;5;Код Московской области
Старый Оскол;472;5;xx-xx-xx;6;Код Белгородской области
Старощербиновская;861;51;x-xx-xx;5;Код Краснодарского края
Стенино;496;4;xx-xx-xx;6;Код Московской области
Старое Дрожжаное;843;75;x-xx-xx;5;Код Республики Татарстан
Степное;845;66;x-xx-xx;5;Код Саратовской области
Стерлибашево;347;39;x-xx-xx;5;Код Республики Башкортостан
Степное;865;63;x-xx-xx;5;Код Ставропольского края
Старосубхангулово;347;55;x-xx-xx;5;Код Республики Башкортостан
Столбовая;;496;xxx-xx-xx;7;
Строитель;472;44;x-xx-xx;5;Код Белгородской области
Стрежевой;382;59;x-xx-xx;5;Код Томской области
Стерлитамак;347;3;xx-xx-xx;6;Код Республики Башкортостан
Струги-Красные;811;32;x-xx-xx;5;Код Псковской области
Суворов;487;63;x-xx-xx;5;Код Тульской области
Судак;365;66;x-xx-xx;5;Код Республики Крым
Суджа;471;43;x-xx-xx;5;Код Курской области
Судиславль;494;33;x-xx-xx;5;Код Костромской области
Судогда;492;35;x-xx-xx;5;Код Владимирской области
Суземка;483;53;x-xx-xx;5;Код Брянской области
Суздаль;492;31;x-xx-xx;5;Код Владимирской области
Суна;833;69;x-xx-xx;5;Код Кировской области
Суксун;342;75;x-xx-xx;5;Код Пермского края
Ступино;496;64;x-xx-xx;5;Код Московской области
Суоярви;814;57;x-xx-xx;5;Код Республики Карелия
Сунтар;411;35;x-xx-xx;5;Код Республики Саха (Якутия)
Сураж;483;30;x-xx-xx;5;Код Брянской области
Сургут;346;2;xx-xx-xx;6;Код Тюменской области
Суровикино;844;73;x-xx-xx;5;Код Волгоградской области
Сузун;383;46;x-xx-xx;5;Код Новосибирской области
Суровкино;844;73;x-xx-xx;5;Код Волгоградской области
Сусанино;494;34;x-xx-xx;5;Код Костромской области
Сусуман;413;45;x-xx-xx;5;Код Магаданской области
Сурское;842;42;x-xx-xx;5;Код Ульяновской области
Сухиничи;484;51;x-xx-xx;5;Код Калужской области
Сут-Холь;394;45;x-xx-xx;5;Код Республики Тыва
Сызрань;846;4;xx-xx-xx;6;Код Самарской области
Сходня;;495;xxx-xx-xx;7;
Сыктывкар;;821;xxx-xx-xx;7;
Сычевка;481;30;x-xx-xx;5;Код Смоленской области
Сухой Лог;343;73;x-xx-xx;5;Код Свердловской области
Сысоево;496;22;x-xx-xx;5;Код Московской области
Сысерть;343;74;x-xx-xx;5;Код Свердловской области
Сюмси;341;52;x-xx-xx;5;Код Республики Удмуртия
Сямжа;817;52;x-xx-xx;5;Код Вологодской области
Магадан;;413;xxx-xx-xx;7;
Магарамкент;872;35;x-xx-xx;5;Код Республики Дагестан
Магдагачи;416;53;x-xx-xx;5;Код Амурской области
Сухобузимское;391;99;x-xx-xx;5;Код Красноярского края
Магнитогорск;351;9;xx-xx-xx;6;Код Челябинской области
Маджалис;872;38;x-xx-xx;5;Код Республики Дагестан
Сычево;496;36;x-xx-xx;5;Код Московской области
Майкоп;;877;xxx-xx-xx;7;
Майна;842;44;x-xx-xx;5;Код Ульяновской области
Майдарово;496;2;xx-xx-xx;6;Код Московской области
Майма;388;44;x-xx-xx;5;Код Республики Алтай
Майский;866;33;x-xx-xx;5;Код Кабардино-Балкарской Республики
Майя;411;43;x-xx-xx;5;Код Республики Саха (Якутия)
Макаров;424;43;x-xx-xx;5;Код Сахалинской области
Макарьев;494;45;x-xx-xx;5;Код Костромской области
Максатиха;482;53;x-xx-xx;5;Код Тверской области
Макушино;352;36;x-xx-xx;5;Код Курганской области
Малаховка;;498;xxx-xx-xx;7;
Малая Вишера;816;60;x-xx-xx;5;Код Новгородской области
Малая Дубна;496;4;xx-xx-xx;6;Код Московской области
Малая Пурга;341;38;x-xx-xx;5;Код Республики Удмуртия
Малая Сердоба;841;62;x-xx-xx;5;Код Пензенской области
Малмыж;833;47;x-xx-xx;5;Код Кировской области
Малоархангельск;486;79;x-xx-xx;5;Код Орловской области
Малоярославец;484;31;x-xx-xx;5;Код Калужской области
Малые Дербеты;847;34;x-xx-xx;5;Код Республики Калмыкия
Мамадыш;855;63;x-xx-xx;5;Код Республики Татарстан
Мамонтовка;496;53;x-xx-xx;5;Код Московской области
Мамонтово;385;83;x-xx-xx;5;Код Алтайского края
Малино;496;64;x-xx-xx;5;Код Московской области
Мамонтово;;496;xxx-xx-xx;7;
Малояз;347;77;x-xx-xx;5;Код Республики Башкортостан
Мантурово;494;46;x-xx-xx;5;Код Костромской области
Мантурово;471;55;x-xx-xx;5;Код Курской области
Марево;816;63;x-xx-xx;5;Код Новгородской области
Мариинск;384;43;x-xx-xx;5;Код Кемеровской области
Мари Турек;836;34;x-xx-xx;5;Код Республики Марий Эл
Мариинский Посад;835;42;x-xx-xx;5;Код Чувашской Республики
Маркс;845;67;x-xx-xx;5;Код Саратовской области
